txn_id,timestamp,timestamp_status,user_id,merchant_id,amount,amount_status,utr,utr_status,mcc,mcc_status,status
TXN00011869,2026-01-15 00:11:30,VALID,USR45826,MCH7045,15722.34,VALID,UTR6498104698,VALID,5411,VALID,SUCCESS
TXN00010383,2026-01-17 20:09:44,VALID,USR79397,MCH5031,6362.9,VALID,UTR7656190355,VALID,4131,VALID,FAILED
TXN00008297,2026-01-23 14:10:16,VALID,USR87810,MCH9809,15446.19,VALID,UTR9037001889,DUPLICATE,5411,VALID,SUCCESS
TXN00006448,2026-02-02 20:17:51,VALID,USR54287,MCH6928,12110.49,VALID,UTR5257823698,VALID,5411,VALID,SUCCESS
TXN00018792,2026-03-31 14:02:37,VALID,USR53865,MCH8121,19432.94,VALID,UTR4204272894,VALID,4131,VALID,SUCCESS
TXN00000400,2026-02-11 01:40:43,VALID,USR90546,MCH6773,18866.03,VALID,UTR2080442730,VALID,5812,VALID,SUCCESS
TXN00015249,2026-03-10 21:27:31,VALID,USR18691,MCH7856,19982.69,VALID,UTR5471158093,VALID,,MISSING,SUCCESS
TXN00007121,2026-02-25 00:53:02,VALID,USR16629,MCH7753,22687.5,VALID,UTR3330570580,VALID,5411,VALID,SUCCESS
TXN00008460,2026-02-07 09:53:11,VALID,USR20899,MCH9111,8256.07,VALID,UTR6505850115,VALID,,MISSING,SUCCESS
TXN00002541,2026-03-30 09:37:49,VALID,USR51755,MCH2949,16466.93,VALID,UTR2787678319,VALID,5411,VALID,FAILED
TXN00003797,2026-03-14 12:21:17,VALID,USR81003,MCH5292,13312.0,VALID,UTR2464640119,VALID,,MISSING,SUCCESS
TXN00000092,2026-01-27 23:43:31,VALID,USR70687,MCH4523,17833.99,VALID,UTR5315091377,VALID,5411,VALID,SUCCESS
TXN00004622,2026-11-03 01:40:12,VALID,USR37834,MCH5213,19118.63,VALID,UTR1692756805,VALID,5812,VALID,SUCCESS
TXN00001542,2026-02-21 01:33:17,VALID,USR78386,MCH4890,2680.85,VALID,UTR3430344329,VALID,5912,VALID,SUCCESS
TXN00002592,2026-02-21 05:47:48,VALID,USR21114,MCH9819,20100.92,VALID,UTR3572682179,VALID,,MISSING,PROCESSING
TXN00017665,2026-01-21 15:06:13,VALID,USR96222,MCH6009,16257.95,VALID,UTR4021669116,VALID,5411,VALID,PROCESSING
TXN00002012,2026-03-06 13:48:49,VALID,USR13976,MCH8222,1575.7,VALID,UTR0496925866,VALID,5411,VALID,SUCCESS
TXN00015655,2026-01-09 05:05:51,VALID,USR55935,MCH8480,18230.29,VALID,UTR6094940155,VALID,,MISSING,SUCCESS
TXN00011091,2026-03-03 19:17:39,VALID,USR13890,MCH8216,-23820.57,NEGATIVE,UTR6527062794,VALID,4131,VALID,SUCCESS
TXN00008584,2026-01-17 18:53:31,VALID,USR15778,MCH3250,5546.0,VALID,UTR0928079796,VALID,5912,VALID,SUCCESS
TXN00004474,2026-01-17 19:39:58,VALID,USR15834,MCH3895,8892.43,VALID,UTR4987418462,VALID,5812,VALID,SUCCESS
TXN00013857,2026-01-24 07:35:23,VALID,USR33189,MCH4645,1816.08,VALID,UTR8739611115,VALID,5912,VALID,SUCCESS
TXN00012705,2026-01-23 18:56:04,VALID,USR48168,MCH4207,3530.72,VALID,UTR0498515755,VALID,5411,VALID,SUCCESS
TXN00008884,2026-01-02 23:17:20,VALID,USR99474,MCH1206,7998.11,VALID,UTR6778164754,VALID,5411,VALID,SUCCESS
TXN00007528,2026-01-30 18:33:12,VALID,USR86253,MCH1683,13694.93,VALID,UTR6390761420,VALID,5411,VALID,SUCCESS
TXN00011321,2026-02-25 08:44:40,VALID,USR85411,MCH6621,15076.69,VALID,UTR9700714037,VALID,7011,VALID,SUCCESS
TXN00003742,2026-03-20 05:35:40,VALID,USR92327,MCH8759,20437.02,VALID,UTR3393354693,VALID,5812,VALID,SUCCESS
TXN00008492,2026-02-02 18:27:43,VALID,USR54536,MCH8074,3384.6,VALID,UTR3320495895,VALID,,MISSING,SUCCESS
TXN00016765,2026-03-26 12:18:46,VALID,USR93890,MCH5711,20091.0,VALID,UTR9203187638,VALID,,MISSING,FAILED
TXN00017694,2026-01-13 15:03:46,VALID,USR40732,MCH9490,9002.0,VALID,UTR2443914333,VALID,5411,VALID,FAILED
TXN00006528,2026-03-28 10:06:31,VALID,USR29622,MCH4964,20882.75,VALID,UTR4641185560,VALID,,MISSING,FAILED
TXN00013401,2026-04-03 18:19:19,VALID,USR31880,MCH1798,24701.82,VALID,UTR8784371040,VALID,5912,VALID,SUCCESS
TXN00004494,2026-02-24 12:34:51,VALID,USR95466,MCH5376,19908.13,VALID,UTR0075153514,VALID,7011,VALID,SUCCESS
TXN00011094,2026-03-05 11:29:40,VALID,USR75900,MCH1058,8314.42,VALID,UTR9917244266,VALID,,MISSING,SUCCESS
TXN00017273,2026-01-14 18:30:01,VALID,USR76790,MCH6075,13085.0,VALID,UTR0709799346,VALID,4131,VALID,FAILED
TXN00009281,2026-02-21 00:15:01,VALID,USR68024,MCH5104,10455.06,VALID,UTR1967979496,VALID,5812,VALID,SUCCESS
