txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,5411,COMPLETED
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,Rs. 6362.9,UTR7656190355,4131,TXN_FAILED
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,05411,S
TXN00006448,1770063471,USR54287,MCH6928,12110.49,UTR5257823698,05411,S
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,Rs. 19432.94,UTR4204272894,4131,TXN_SUCCESS
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,Rs. 18866.03,UTR2080442730,5812,SUCCESS
TXN00015249,03-10-2026 09:27:31 PM,USR18691,MCH7856,19982.69,UTR5471158093,,COMPLETED
TXN00007121,25/02/2026 00:53:02,USR16629,MCH7753,Rs. 22687.5,UTR3330570580,5411,COMPLETED
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,,S
TXN00002541,03-30-2026 09:37:49 AM,USR51755,MCH2949,"₹16,466.93",UTR 2787678319,5411,FAILED
TXN00003797,2026-03-14 12:21:17,USR81003,MCH5292,"INR 13,312",UTR2464640119,,Success
TXN00000092,2026-01-27 23:43:31,USR70687,MCH4523,"17,833.99",UTR5315091377,05411,SUCCESS
TXN00004622,11/03/2026 01:40:12,USR37834,MCH5213,Rs. 19118.63,UTR1692756805,5812,SUCCESS
TXN00001542,2026-02-21 01:33:17,USR78386,MCH4890,2680.85,UTR3430344329,5912,Success
TXN00002592,2026-02-21 05:47:48,USR21114,MCH9819,Rs. 20100.92,UTR3572682179,,Initiated
TXN00017665,21/01/2026 15:06:13,USR96222,MCH6009,16257.95,UTR4021669116,5411,Pending
TXN00002012,2026-03-06 13:48:49,USR13976,MCH8222,1575.7,UTR0496925866,5411,TXN_SUCCESS
TXN00015655,01-09-2026 05:05:51 AM,USR55935,MCH8480,18230.29,UTR6094940155,,TXN_SUCCESS
TXN00011091,03/03/2026 19:17:39,USR13890,MCH8216,-23820.57,UTR6527062794,4131,COMPLETED
TXN00008584,17/01/2026 18:53:31,USR15778,MCH3250,"INR 5,546",UTR0928079796,5912,Success
TXN00004474,2026-01-17 19:39:58,USR15834,MCH3895,8892.43,UTR4987418462,5812,TXN_SUCCESS
TXN00013857,2026-01-24 07:35:23,USR33189,MCH4645,1816.08,UTR8739611115,5912,TXN_SUCCESS
TXN00012705,2026-01-23 18:56:04,USR48168,MCH4207,"₹3,530.72",UTR 0498515755,05411,Success
TXN00008884,01/02/2026 23:17:20,USR99474,MCH1206,7998.11,UTR6778164754,05411,Success
TXN00007528,2026-01-30 18:33:12,USR86253,MCH1683,13694.93,UTR 6390761420,5411,S
TXN00011321,2026-02-25 08:44:40,USR85411,MCH6621,15076.69,UTR9700714037,7011,COMPLETED
TXN00003742,03-20-2026 05:35:40 AM,USR92327,MCH8759,20437.02,UTR3393354693,5812,SUCCESS
TXN00008492,2026-02-02 18:27:43,USR54536,MCH8074,3384.6,UTR3320495895,,TXN_SUCCESS
TXN00016765,03-26-2026 12:18:46 PM,USR93890,MCH5711,"INR 20,091",UTR9203187638,,TXN_FAILED
TXN00017694,2026-01-13 15:03:46,USR40732,MCH9490,"INR 9,002",UTR 2443914333,05411,Fail
TXN00006528,1774692391,USR29622,MCH4964,20882.75,UTR4641185560,,TXN_FAILED
TXN00013401,04/03/2026 18:19:19,USR31880,MCH1798,24701.82,UTR 8784371040,5912,SUCCESS
TXN00004494,24/02/2026 12:34:51,USR95466,MCH5376,19908.13,UTR0075153514,7011,Success
TXN00011094,03-05-2026 11:29:40 AM,USR75900,MCH1058,8314.42,UTR9917244266,,SUCCESS
TXN00017273,01-14-2026 06:30:01 PM,USR76790,MCH6075,"INR 13,085",UTR0709799346,4131,FAILED
TXN00009281,1771632901,USR68024,MCH5104,10455.06,UTR1967979496,5812,Success
TXN00006056,18/01/2026 14:04:37,USR74396,MCH3197,12329.64,UTR9066186368,4131,S
TXN00010147,01-16-2026 05:24:29 PM,USR91777,MCH4915,"19,600.29",UTR0387036525,4131,COMPLETED
TXN00008021,2026-02-13 00:38:19,USR87162,MCH8216,"INR 12,452",UTR6064791461,5912,COMPLETED
TXN00015299,2026-03-12 03:39:52,USR81720,MCH9260,Rs. 15641.17,UTR8680623402,5812,Success
TXN00012856,03-16-2026 11:45:31 PM,USR76098,MCH6109,"INR 5,205",UTR9338335376,5912,Fail
TXN00002230,27/02/2026 04:10:10,USR41686,MCH3071,"7,504.98",UTR9557966907,5812,TXN_SUCCESS
TXN00008304,20/03/2026 05:00:36,USR95674,MCH5401,"₹5,379.22",UTR8910180483,,S
TXN00002751,08/01/2026 18:34:26,USR62352,MCH6961,9710.26,UTR2411349944,4131,SUCCESS
TXN00016154,12/01/2026 06:43:49,USR24396,MCH4549,7444.86,UTR 9010745901,7011,S
TXN00002002,2026-02-02 21:46:04,USR30273,MCH3715,Rs. 6182.0,UTR 4088897098,5411,S
TXN00017871,1774233099,USR84134,MCH7932,1129.96,UTR 2897803833,05411,Fail
TXN00009906,19/02/2026 18:35:29,USR91737,MCH9669,Rs. 9793.08,UTR7243374821,7011,Success
TXN00012105,2026-02-11 21:01:18,USR62385,MCH7681,7551.46,UTR8310520572,4131,SUCCESS
TXN00003363,2026-03-30 03:38:47,USR87291,MCH4490,17312.05,UTR6688677473,5912,Success
TXN00004301,2026-03-15 01:52:40,USR98963,MCH8511,Rs. 2024.58,UTR0403071756,4131,Pending
